Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,is_job_hopper,abs_raise,manager_share,dissatisfaction_score,burnout_risk,distance_x_overtime,life_stage
41,1,Travel_Rarely,1102.0,Sales,1.0,2.0,Life Sciences,2.0,Female,94.0,3.0,2.0,Sales Executive,4.0,Single,19479.0,8.0,Yes,11.0,3.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,1,65923.0,0.8333333333333334,12.0,1,1.0,Other
49,0,Travel_Frequently,279.0,Research & Development,8.0,1.0,Life Sciences,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,24907.0,1.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,0,117990.0,0.7,8.0,0,0.0,Senior
37,1,Travel_Rarely,1373.0,Research & Development,2.0,2.0,Other,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,1,31350.0,,8.0,0,2.0,Other
33,0,Travel_Frequently,1392.0,Research & Development,3.0,4.0,Life Sciences,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,0,31999.0,0.0,7.0,0,3.0,Mid_Career_Family
27,0,Travel_Rarely,591.0,Research & Development,2.0,1.0,Medical,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,1,41616.0,1.0,10.0,0,0.0,Other
32,0,Travel_Frequently,1005.0,Research & Development,2.0,2.0,Life Sciences,4.0,Male,79.0,3.0,1.0,Laboratory Technician,4.0,Single,11864.0,0.0,No,13.0,3.0,3.0,0.0,8.0,2.0,2.0,7.0,7.0,3.0,6.0,0,39884.0,0.8571428571428571,7.0,0,0.0,Other
59,0,Travel_Rarely,1324.0,Research & Development,3.0,3.0,Medical,3.0,Female,81.0,4.0,1.0,Laboratory Technician,1.0,Married,9964.0,4.0,Yes,20.0,4.0,1.0,3.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,1,53400.0,0.0,13.0,1,3.0,Senior
30,0,Travel_Rarely,1358.0,Research & Development,24.0,1.0,Life Sciences,4.0,Male,67.0,3.0,1.0,Laboratory Technician,3.0,Divorced,13335.0,1.0,No,22.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0,59246.0,0.0,8.0,0,0.0,Mid_Career_Family
38,0,Travel_Frequently,216.0,Research & Development,23.0,3.0,Life Sciences,4.0,Male,44.0,2.0,3.0,Manufacturing Director,3.0,Single,8787.0,0.0,No,21.0,4.0,2.0,0.0,10.0,2.0,3.0,9.0,7.0,1.0,8.0,0,200046.0,0.8888888888888888,8.0,0,0.0,Other
36,0,Travel_Rarely,1299.0,Research & Development,27.0,3.0,Medical,3.0,Male,94.0,,2.0,Healthcare Representative,3.0,Married,16577.0,6.0,No,13.0,3.0,2.0,2.0,,3.0,2.0,7.0,7.0,7.0,7.0,0,68081.0,1.0,10.0,0,0.0,Mid_Career_Family
35,0,Travel_Rarely,809.0,Research & Development,16.0,3.0,Medical,1.0,Male,84.0,4.0,1.0,Laboratory Technician,2.0,Married,16479.0,0.0,No,13.0,3.0,3.0,,6.0,5.0,3.0,5.0,4.0,0.0,3.0,0,31538.0,0.6,11.0,0,0.0,Mid_Career_Family
29,0,Travel_Rarely,153.0,Research & Development,15.0,2.0,Life Sciences,4.0,Female,49.0,2.0,2.0,Laboratory Technician,3.0,Single,12682.0,0.0,Yes,12.0,3.0,4.0,0.0,10.0,3.0,3.0,9.0,5.0,0.0,8.0,0,50316.0,0.8888888888888888,6.0,0,15.0,Young_Single
31,0,Travel_Rarely,670.0,Research & Development,26.0,1.0,Life Sciences,1.0,Male,31.0,3.0,1.0,Research Scientist,3.0,Divorced,15170.0,1.0,No,17.0,3.0,4.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,3.0,0,49487.0,0.6,10.0,0,0.0,Mid_Career_Family
34,0,Travel_Rarely,1346.0,Research & Development,19.0,2.0,Medical,2.0,Male,93.0,3.0,1.0,Laboratory Technician,4.0,Divorced,8758.0,,No,11.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,0,29271.0,1.0,8.0,0,0.0,Mid_Career_Family
28,1,Travel_Rarely,103.0,Research & Development,,3.0,Life Sciences,3.0,Male,50.0,2.0,1.0,Laboratory Technician,3.0,Single,12947.0,5.0,Yes,14.0,3.0,2.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,1,28392.0,0.75,9.0,1,,Young_Single
29,0,Travel_Rarely,1389.0,Research & Development,21.0,4.0,Life Sciences,2.0,Female,51.0,4.0,3.0,Manufacturing Director,1.0,Divorced,10195.0,1.0,No,11.0,3.0,3.0,1.0,10.0,1.0,3.0,10.0,9.0,8.0,8.0,0,109780.0,0.8,11.0,0,0.0,Other
32,0,Travel_Rarely,334.0,Research & Development,5.0,2.0,Life Sciences,1.0,Male,80.0,4.0,1.0,Research Scientist,2.0,Divorced,15053.0,0.0,Yes,12.0,3.0,4.0,2.0,7.0,5.0,2.0,6.0,2.0,0.0,5.0,0,39576.0,0.8333333333333334,11.0,1,5.0,Mid_Career_Family
22,0,Non-Travel,1123.0,Research & Development,16.0,2.0,Medical,4.0,Male,96.0,4.0,1.0,Laboratory Technician,4.0,Divorced,7324.0,1.0,Yes,13.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0,38155.0,0.0,8.0,0,16.0,Other
53,0,Travel_Rarely,1219.0,Sales,2.0,4.0,Life Sciences,1.0,Female,78.0,2.0,4.0,Manager,4.0,Married,22021.0,2.0,No,16.0,3.0,3.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,0,246832.0,0.28,9.0,0,0.0,Senior
38,0,Travel_Rarely,371.0,Research & Development,2.0,3.0,Life Sciences,4.0,Male,45.0,3.0,1.0,Research Scientist,4.0,Single,4306.0,5.0,Yes,11.0,3.0,3.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,1,43384.0,0.6666666666666666,6.0,0,2.0,Other
24,0,Non-Travel,,Research & Development,11.0,2.0,Other,1.0,Female,96.0,4.0,2.0,Manufacturing Director,3.0,Divorced,8232.0,0.0,No,18.0,3.0,,1.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,0,72198.0,0.75,9.0,0,0.0,Other
