Age,Attrition,BusinessTravel,Gender,JobInvolvement,JobRole,MaritalStatus,OverTime,StockOptionLevel,YearsAtCompany,YearsSinceLastPromotion,is_job_hopper,abs_raise,manager_share,dissatisfaction_score,burnout_risk,distance_x_overtime,life_stage
41,1,Travel_Rarely,Female,3.0,Sales Executive,Single,Yes,0.0,6.0,0.0,1,65923.0,0.8333333333333334,12.0,1,1.0,Other
49,0,Travel_Frequently,Male,2.0,Research Scientist,Married,No,1.0,10.0,1.0,0,117990.0,0.7,8.0,0,0.0,Senior
37,1,Travel_Rarely,Male,2.0,Laboratory Technician,Single,Yes,0.0,0.0,0.0,1,31350.0,,8.0,0,2.0,Other
33,0,Travel_Frequently,Female,3.0,Research Scientist,Married,Yes,0.0,8.0,3.0,0,31999.0,0.0,7.0,0,3.0,Mid_Career_Family
27,0,Travel_Rarely,Male,3.0,Laboratory Technician,Married,No,1.0,2.0,2.0,1,41616.0,1.0,10.0,0,0.0,Other
32,0,Travel_Frequently,Male,3.0,Laboratory Technician,Single,No,0.0,7.0,3.0,0,39884.0,0.8571428571428571,7.0,0,0.0,Other
59,0,Travel_Rarely,Female,4.0,Laboratory Technician,Married,Yes,3.0,1.0,0.0,1,53400.0,0.0,13.0,1,3.0,Senior
30,0,Travel_Rarely,Male,3.0,Laboratory Technician,Divorced,No,1.0,1.0,0.0,0,59246.0,0.0,8.0,0,0.0,Mid_Career_Family
38,0,Travel_Frequently,Male,2.0,Manufacturing Director,Single,No,0.0,9.0,1.0,0,200046.0,0.8888888888888888,8.0,0,0.0,Other
36,0,Travel_Rarely,Male,,Healthcare Representative,Married,No,2.0,7.0,7.0,0,68081.0,1.0,10.0,0,0.0,Mid_Career_Family
35,0,Travel_Rarely,Male,4.0,Laboratory Technician,Married,No,,5.0,0.0,0,31538.0,0.6,11.0,0,0.0,Mid_Career_Family
29,0,Travel_Rarely,Female,2.0,Laboratory Technician,Single,Yes,0.0,9.0,0.0,0,50316.0,0.8888888888888888,6.0,0,15.0,Young_Single
31,0,Travel_Rarely,Male,3.0,Research Scientist,Divorced,No,1.0,5.0,4.0,0,49487.0,0.6,10.0,0,0.0,Mid_Career_Family
34,0,Travel_Rarely,Male,3.0,Laboratory Technician,Divorced,No,1.0,2.0,1.0,0,29271.0,1.0,8.0,0,0.0,Mid_Career_Family
28,1,Travel_Rarely,Male,2.0,Laboratory Technician,Single,Yes,0.0,4.0,0.0,1,28392.0,0.75,9.0,1,,Young_Single
29,0,Travel_Rarely,Female,4.0,Manufacturing Director,Divorced,No,1.0,10.0,8.0,0,109780.0,0.8,11.0,0,0.0,Other
32,0,Travel_Rarely,Male,4.0,Research Scientist,Divorced,Yes,2.0,6.0,0.0,0,39576.0,0.8333333333333334,11.0,1,5.0,Mid_Career_Family
22,0,Non-Travel,Male,4.0,Laboratory Technician,Divorced,Yes,2.0,1.0,0.0,0,38155.0,0.0,8.0,0,16.0,Other
53,0,Travel_Rarely,Female,2.0,Manager,Married,No,0.0,25.0,3.0,0,246832.0,0.28,9.0,0,0.0,Senior
38,0,Travel_Rarely,Male,3.0,Research Scientist,Single,Yes,0.0,3.0,1.0,1,43384.0,0.6666666666666666,6.0,0,2.0,Other
24,0,Non-Travel,Female,4.0,Manufacturing Director,Divorced,No,1.0,4.0,1.0,0,72198.0,0.75,9.0,0,0.0,Other
36,1,Travel_Rarely,Male,2.0,Sales Representative,Single,No,0.0,5.0,0.0,1,78361.0,0.6,11.0,0,0.0,Other
34,0,Travel_Rarely,Female,3.0,Research Director,Single,No,0.0,12.0,2.0,0,131934.0,0.9166666666666666,11.0,0,0.0,Other
21,0,Travel_Rarely,Male,3.0,Research Scientist,Single,No,0.0,0.0,,0,17248.0,,6.0,0,0.0,Young_Single
34,1,Travel_Rarely,Male,3.0,Research Scientist,Single,No,0.0,4.0,1.0,0,32560.0,0.75,11.0,0,0.0,Other
53,0,Travel_Rarely,Female,3.0,Manager,Divorced,No,1.0,14.0,4.0,0,210034.0,0.5714285714285714,8.0,0,0.0,Senior
32,1,Travel_Frequently,Female,1.0,Research Scientist,Single,Yes,0.0,10.0,6.0,0,86218.0,0.7,10.0,1,16.0,Other
42,0,Travel_Rarely,Male,3.0,Sales Executive,Married,No,1.0,9.0,4.0,0,75075.0,0.2222222222222222,8.0,0,0.0,Mid_Career_Family
44,0,Travel_Rarely,Female,2.0,Healthcare Representative,Married,No,1.0,22.0,5.0,0,143472.0,0.7727272727272727,8.0,0,0.0,Mid_Career_Family
46,0,Travel_Rarely,Female,3.0,Manager,Single,No,0.0,2.0,2.0,0,227364.0,0.5,11.0,0,0.0,Senior
33,0,Travel_Rarely,Male,3.0,Laboratory Technician,Single,No,0.0,1.0,0.0,1,27456.0,0.0,6.0,0,0.0,Other
44,0,Travel_Rarely,Male,3.0,Healthcare Representative,Married,Yes,0.0,4.0,1.0,0,84045.0,0.75,4.0,0,10.0,Mid_Career_Family
30,0,Travel_Rarely,Male,2.0,Laboratory Technician,Single,No,0.0,10.0,1.0,0,28678.0,0.8,9.0,0,0.0,Other
39,1,Travel_Rarely,Male,3.0,Sales Representative,Married,No,1.0,1.0,0.0,0,29204.0,0.0,5.0,0,0.0,Mid_Career_Family
24,1,Travel_Rarely,Male,3.0,Research Scientist,Married,Yes,1.0,2.0,2.0,0,,0.0,11.0,1,1.0,Other
43,0,Travel_Rarely,Female,4.0,Research Scientist,Divorced,No,2.0,5.0,1.0,0,31740.0,0.8,7.0,0,0.0,Mid_Career_Family
50,1,Travel_Rarely,Male,2.0,Sales Representative,Married,Yes,0.0,3.0,0.0,0,37562.0,0.6666666666666666,10.0,1,,Senior
